Name	468_MeCP2_NTC - linear total RPKM	468_MeCP2_sh1 - linear total RPKM	468_MeCP2_sh3 - linear total RPKM
LOC112267905	0.523	0.649	0.627
LOC112267907	1.65	1.811	1.447
LOC112267909	1.161	0.939	0.937
LOC112267910	0.002	0.015	0
LOC112267914	0.666	0.798	0.835
LOC112267915	0.169	0.418	0.631
LOC112267917	1.645	2.47	2.098
LOC112267929	17.094	15.983	16.867
LOC112267930	0	0.002	0.001
LOC112267931	0	0	0
LOC112267932	0.674	1.8	1.679
LOC112267933	0	0	0
LOC112267934	0.267	1.294	1.541
LOC112267935	0.038	0	0
LOC112267936	10.034	9.72	10.069
LOC112267937	0.02	0.002	0.03
LOC112267938	0.33	2.264	1.699
LOC112267939	0.211	0.676	0.857
LOC112267940	0.211	0.676	0.857
LOC112267941	0.809	1.233	0.914
LOC112267942	9.879	7.698	8.179
LOC112267943	8.096	7.017	6.654
LOC112267944	0	0.001	0.001
LOC112267947	0.776	0.668	0.742
LOC112267951	1.083	1.282	1.368
LOC112267952	0.347	0.683	0.418
LOC112267953	1.629	3.45	3.031
LOC112267955	0.002	0.001	0.065
LOC112267956	0.016	0.147	0.12
LOC112267957	0.028	0.28	0.195
LOC112267958	0.573	2.265	2.013
LOC112267959	104.362	71.203	70.641
LOC112267960	1.055	1.042	1.114
LOC112267961	0.437	0.971	0.891
LOC112267962	0.899	1.542	1.564
LOC112267964	0.002	0	0
LOC112267965	0.692	1.981	1.385
LOC112267966	0	0.001	0.001
LOC112267967	3.275	3.329	3.336
LOC112267968	0	0	0
LOC112267969	0	0	0
LOC112267970	4.567	3.334	3.541
LOC112267971	0.027	0.002	0.193
LOC112267972	0	0.001	0.001
LOC112267973	0.365	0.437	0.383
LOC112267974	2.281	1.845	2.04
LOC112267978	0.001	0	0
LOC112267983	3.163	3.338	3.353
LOC112267984	0.018	0.144	0.14
LOC112267985	0.138	0.513	0.557
LOC112267986	0.889	2.554	2.644
LOC112267987	0.21	0.789	0.796
LOC112267988	0.093	0.226	0.185
LOC112267989	2.317	1.97	1.989
LOC112267991	0	0	0
LOC112267992	1.994	6.026	5.527
LOC112267993	0.08	0.276	0.284
LOC112268006	2.814	3.231	3.086
LOC112268008	0.113	0.132	0.131
LOC112268009	1.405	1.584	1.417
LOC112268010	0.235	0.508	0.365
LOC112268012	0.001	0.113	0.004
LOC112268014	1.603	2.893	2.566
LOC112268015	3.745	5.227	5.482
LOC112268016	0.221	0.738	0.706
LOC112268017	0	0	0
LOC112268020	0	0	0
LOC112268021	0.037	0.031	0.007
LOC112268022	0.999	0.979	0.99
LOC112268023	0	0.001	0
LOC112268024	5.849	6.763	6.86
LOC112268025	5.572	5.499	5.354
LOC112268026	0	0	0
LOC112268027	0.811	0.875	0.671
LOC112268029	0	0	0
LOC112268030	10.963	9.708	9.676
LOC112268033	0	0	0
LOC112268034	0	0.134	0.094
LOC112268035	3.127	4.619	3.489
LOC112268036	5.977	5.17	5.325
LOC112268037	1.775	3.087	3.221
LOC112268038	0.395	0.552	0.571
LOC112268039	2.731	2.987	2.612
LOC112268042	0.014	0.191	0.219
LOC112268043	0	0	0.001
LOC112268044	0.019	0.421	0.208
LOC112268045	0.328	0.935	0.511
LOC112268046	0.002	0.008	0.001
LOC112268047	0.075	0.215	0.278
LOC112268048	0.99	0.9	1.08
LOC112268049	0.001	0.019	0.014
LOC112268050	6.595	11.615	9.784
LOC112268051	0.424	0.723	0.692
LOC112268052	17	36.203	38.591
LOC112268053	0	0	0
LOC112268054	1.172	1.55	1.449
LOC112268055	0.061	1.034	1.062
LOC112268056	0.516	0.839	0.995
LOC112268057	0.183	0.289	0.186
LOC112268058	7.782	6.536	6.882
LOC112268059	0	0	0
LOC112268060	0	0	0
LOC112268061	0.9	0.644	0.937
LOC112268062	0.555	0.948	0.809
LOC112268063	5.735	10.423	9.755
LOC112268064	8.4	8.004	7.798
LOC112268065	0.462	0.263	0.262
LOC112268066	0.158	0.166	0.163
LOC112268067	0.045	0.005	0.038
LOC112268068	2.268	4.011	3.402
LOC112268069	0.024	0.399	0.017
LOC112268070	0.415	1.806	1.576
LOC112268071	0.11	0.139	0.127
LOC112268072	1.176	0.665	0.755
LOC112268073	1.261	0.913	0.868
LOC112268076	0.324	1.003	0.6
LOC112268077	1.152	1.146	1.022
LOC112268078	2.574	5.18	5.078
LOC112268079	0.025	0.015	0.018
LOC112268080	0	0	0
LOC112268081	0.648	0.652	0.437
LOC112268082	0	0	0
LOC112268084	0.275	0.239	0.263
LOC112268085	0.017	0.875	1.495
LOC112268086	0.02	0.346	0.183
LOC112268087	0	0	0
LOC112268088	0.708	4.19	3.282
LOC112268089	5.993	6.297	5.036
LOC112268090	1.364	1.352	1.356
LOC112268091	0.002	0	0
LOC112268092	0	0	0
LOC112268093	2.561	2.897	3.097
LOC112268095	0.454	0.76	0.716
LOC112268096	2.844	2.753	2.712
LOC112268097	19.023	18.698	17.604
LOC112268098	13.799	15.278	15.842
LOC112268099	1.537	1.503	1.382
LOC112268100	4.08	4.07	4.081
LOC112268101	0.001	0.001	0.001
LOC112268102	1.242	1.018	1.299
LOC112268103	0.018	0.204	0.146
LOC112268104	0.001	0.053	0.013
LOC112268106	1.78	2.123	1.496
LOC112268107	4.308	4.008	4.089
LOC112268108	1.316	1.356	0.996
LOC112268109	0.456	2.552	2.119
LOC112268110	0.013	0.017	0.017
LOC112268111	0	0	0
LOC112268112	0.064	0.136	0.127
LOC112268114	0	0	0
LOC112268115	0.586	0.577	0.384
LOC112268116	0	0	0
LOC112268118	0	0	0
LOC112268119	0	0	0
LOC112268120	0.023	0.328	0.132
LOC112268121	2.978	4.521	4.159
LOC112268122	0.539	0.794	0.788
LOC112268123	0.122	2.657	0.945
LOC112268124	1.077	2.105	1.84
LOC112268125	2.43	2.571	2.492
LOC112268127	0.008	0.071	0.068
LOC112268128	8.07	6.268	6.857
LOC112268129	0	0	0
LOC112268130	8.762	8.17	9.133
LOC112268131	5.048	3.56	4.418
LOC112268133	8.358	7.254	7.335
LOC112268134	0.552	1.065	0.857
LOC112268135	0	0	0
LOC112268136	0	0.002	0
LOC112268137	0	0	0.247
LOC112268138	0.002	0.002	0.015
LOC112268139	0.666	2.017	1.601
LOC112268140	0.002	0.71	0.223
LOC112268142	0.042	0.5	0.333
LOC112268143	0	0	0.002
LOC112268144	0.655	0.548	0.552
LOC112268145	0.563	0.554	0.729
LOC112268146	0.007	0	0.136
LOC112268147	0.212	0.589	0.536
LOC112268148	0.061	0.847	1.143
LOC112268149	0.002	0.002	0.001
LOC112268150	0.026	0.014	0.165
LOC112268151	1.109	1.163	1.139
LOC112268152	1.303	0.692	0.047
LOC112268153	0.046	1.012	0.808
LOC112268154	0.013	0.139	0.091
LOC112268156	0	0	0
LOC112268159	0.001	0.002	0
LOC112268163	5.083	3.718	3.554
LOC112268165	1.14	0.886	1.47
LOC112268166	0.317	1.824	1.63
LOC112268168	40.558	31.389	34.86
LOC112268169	3.354	4.076	3.61
LOC112268171	0.079	1.325	1.665
LOC112268172	0.022	0.13	0.226
LOC112268173	0	0	0.001
LOC112268174	0.361	14.62	12.063
LOC112268175	2.32	2.854	2.7
LOC112268176	6.174	4.55	4.836
LOC112268177	11.341	10.941	10.996
LOC112268179	1.295	1.83	2.411
LOC112268182	0.445	1.899	2.074
LOC112268184	6.627	19.934	19.176
LOC112268186	0.581	0.979	0.891
LOC112268187	0	0.001	0
LOC112268188	0.514	0	0.003
LOC112268189	0.296	0.409	0.307
LOC112268190	0.034	0.404	0.309
LOC112268191	0.001	0	0
LOC112268194	0	0	0
LOC112268195	0.036	0.541	0.484
LOC112268196	1.612	4.66	3.753
LOC112268198	0	0	0
LOC112268199	8.432	8.552	8.723
LOC112268200	0.003	0.002	0.023
LOC112268201	1.693	2.675	3.158
LOC112268202	9.711	9.166	9.139
LOC112268203	0.227	1.046	0.693
LOC112268204	0	0	0
LOC112268205	0.737	0.783	0.659
LOC112268206	0	0.002	0
LOC112268208	0	0	0
LOC112268209	0.002	0.002	0.002
LOC112268210	16.528	13.015	13.228
LOC112268211	0.001	0	0
LOC112268212	1.452	1.131	1.079
LOC112268213	0.026	0.277	0.646
LOC112268214	0.023	0.237	0.262
LOC112268215	0	0	0
LOC112268218	1.179	2.729	2.575
LOC112268219	0.082	1.568	1.71
LOC112268220	0.006	0.002	0
LOC112268221	0.007	0.001	0.058
LOC112268222	7.974	6.978	7.111
LOC112268224	0.305	0.635	0.462
LOC112268225	8.999	9.886	9.569
LOC112268227	2.018	3.397	3.091
LOC112268230	0.002	0	0
LOC112268231	0.05	0.004	1.046
LOC112268234	0.038	0.615	0.032
LOC112268235	0.082	0.177	0.134
LOC112268237	0.026	0	0.002
LOC112268238	9.308	10.347	7.475
LOC112268239	0.054	0.618	1.044
LOC112268240	0.001	0.012	0
LOC112268241	0.092	0.719	0.558
LOC112268243	1.293	2.42	1.977
LOC112268244	0.67	1.174	1.008
LOC112268245	9.182	8.133	7.974
LOC112268246	3.046	8.153	6.636
LOC112268247	7.833	5.992	6.851
LOC112268248	1.573	5.624	4.705
LOC112268249	0.767	1.034	0.633
LOC112268250	9.05	7.264	7.532
LOC112268251	0.116	2.498	1.116
LOC112268252	0.245	1.023	1.679
LOC112268253	6.24	5.973	5.939
LOC112268254	16.614	13.833	12.749
LOC112268256	0.07	0.981	0.695
LOC112268257	0	0	0
LOC112268258	13.628	13.87	13.379
LOC112268259	1.911	5.544	4.737
LOC112268260	3.755	4.638	4.741
LOC112268261	2.156	2.442	2.151
LOC112268262	0.055	0.985	1.355
LOC112268263	0.02	0.213	0.268
LOC112268266	0	0.001	0.003
LOC112268267	0.008	0.164	0.065
LOC112268268	0	0.019	0.013
LOC112268269	0.12	2.043	1.547
LOC112268270	3.254	3.79	6.242
LOC112268271	0	0	0
LOC112268272	0.774	1.891	1.649
LOC112268273	0.002	0.017	0.251
LOC112268274	1.206	3.297	2.808
LOC112268276	0.671	0.494	0.605
LOC112268277	0.502	1.132	0.892
LOC112268278	4.587	6.246	5.187
LOC112268279	0	0	0.001
LOC112268280	0	0	0
LOC112268281	0.773	1.1	0.88
LOC112268282	0.447	0.321	0.365
LOC112268283	0	0	0
LOC112268284	477.765	179.445	151.049
LOC112268286	0	0	0
LOC112268287	0	0	0
LOC112268288	2.017	3.721	2.966
LOC112268289	0.048	0.677	0.73
LOC112268291	3.563	3.662	3.716
LOC112268292	7.597	6.887	7.858
LOC112268294	0.103	2.896	2.115
LOC112268295	7.229	6.662	6.531
LOC112268296	1.442	3.614	3.574
LOC112268297	4.517	5.188	4.718
LOC112268299	3.559	4.238	3.945
LOC112268301	0.441	0.753	0.522
LOC112268302	0.369	0.971	0.738
LOC112268304	1.728	2.975	2.34
LOC112268304	1.728	2.975	2.34
LOC112268307	1.914	5.809	3.132
LOC112268310	2.063	7.207	6.864
LOC112268311	0.403	0.246	0.289
LOC112268312	0.107	0.189	0.303
LOC112268323	1.876	1.634	1.508
LOC112268411	0.001	0	0.001
LOC112268412	0.36	0.683	0.847
LOC112268413	2.525	2.39	2.394
LOC112268415	1.967	2.751	2.404
LOC112268416	0.002	0.013	0.002
LOC112268418	9.516	8.457	9.05
LOC112268419	5.487	5.545	5.294
LOC112268420	6.073	5.53	5.576
LOC112268421	1.422	1.699	1.545
LOC112268422	1.87	2.989	2.849
LOC112268423	0.191	0.38	0.281
LOC112268424	0.059	1.254	1.119
LOC112268425	0	0.001	0
LOC112268426	0.112	0.182	0.282
LOC112268429	0.002	0	0.002
LOC112268430	0.999	1.63	1.735
LOC112268431	1.56	1.528	1.442
LOC112268432	1.881	1.765	1.659
LOC112268433	3.341	3.718	2.987
LOC112268434	0.005	0.05	0.005
LOC112268436	0	0	0
LOC112268437	1.971	12.219	11.398
LOC112268438	0.02	0.137	0.101
LOC112268439	0.089	0.305	0.215
LOC112268440	0	0	0
LOC112268441	0	0	0
LOC112268444	0.654	1.249	0.738
LOC112268445	0.847	1.228	1.107
LOC112268446	0.44	1.028	0.895
LOC112268447	1.651	2.191	1.985
LOC112268448	0.001	0.001	0
LOC112268449	1.704	1.366	1.347
LOC112268450	2.694	2.535	2.715
LOC112268455	0.232	0.54	0.635
LOC112268457	17.604	16.541	13.804
LOC112268458	1.804	3.658	3.287
LOC112268460	1.085	4.036	3.176
LOC112268461	0	0	0
LOC112268462	0	0.002	0
LOC112268463	0	0	0
LOC112268465	6.073	4.28	5.218
LOC112268466	0.539	0.703	0.577
LOC112268467	0.518	0.858	0.729
LOC112268468	0.955	3.426	2.895
LOC112268469	0	0	0
LOC112268471	0.001	0.028	0.016
LOC112268472	0.204	0.388	0.358
LOC112268474	5.056	4.785	4.563
LOC112543491	9.983	9.713	9.376
LOC112577516	0	0	0
LOC112577592	0	0	0
LOC112694756	0.107	3.535	2.238
LOC114483834	7.382	24.821	24.08
LOC114841035	2.913	4.133	4.126
LOC114841037	0.002	0	0.002
LOC114841040	0.028	0.186	0.257
LOC115308161	0.025	0.498	0.002
LOH12CR2	11.514	7.958	8.125
LONP1	19.174	43.954	53.583
LONP2	7.909	26.075	21.044
LONRF1	1	2.658	2.305
LONRF2	0.001	0	0.008
LONRF3	4.165	4.766	4.053
LOR	0.209	0.294	0.37
LOX	0.823	2.353	1.868
LOXHD1	0	0	0.001
LOXL1	0.207	0.269	0.425
LOXL1-AS1	1.743	1.616	1.436
LOXL2	3.139	19.529	40.59
LOXL3	0.781	1.447	1.239
LOXL4	0.126	0.412	0.312
LPA	0	0.001	0
LPAR1	0	0	0
LPAR2	3.689	16.178	15.663
LPAR3	1.044	4.98	5.3
LPAR4	0	0	0
LPAR5	1.637	2.05	3.331
LPAR6	0.078	0.784	0.552
LPCAT1	6.832	34.524	31.522
LPCAT2	6.716	23.491	21.838
LPCAT3	1.829	7.424	6.265
LPCAT4	0.959	2.635	2.684
LPEQ6126	0.06	1.104	1.081
LPGAT1	9.335	43.855	32.193
LPGAT1-AS1	0.032	0.255	0.546
LPIN1	1.036	1.736	1.396
LPIN2	1.622	5.501	7.389
LPIN3	6.781	7.224	6.896
LPL	0.061	0	0
LPO	0.034	0.007	0.145
LPP	6.395	7.551	6.638
LPP-AS1	0.019	0.002	0.014
LPP-AS2	5.175	5.306	4.816
LPXN	0.102	2.663	2.8
LRAT	0.048	1.52	0.73
LRATD1	3.748	4.635	8.003
LRATD2	7.63	29.366	28.144
LRBA	2.361	15.027	11.967
LRCH1	0.343	1.612	1.516
LRCH2	0.01	0.008	0.011
LRCH3	10.329	9.992	9.978
LRCH4	5.847	15.154	14.688
LRCOL1	0	0.002	0
LRFN1	1.579	3.576	3.16
LRFN2	0.27	0.278	0.348
LRFN3	2.396	8.436	7.031
LRFN4	7.569	15.702	21.315
LRFN5	0.001	0	0
LRG1	1.618	8.046	9.375
LRGUK	0.011	0.106	0.001
LRIF1	2.012	9.61	6.51
LRIG1	4.429	21.325	16.889
LRIG2	2.071	12.065	10.767
LRIG2-DT	23.856	18.303	19.301
LRIG3	0.689	5.183	4.111
LRIT1	0	0	0
LRIT2	0	0	0
LRIT3	0.015	0.001	0.001
LRMDA	0.019	0	0.001
LRMP	0	0.135	0
LRP1	0.711	2.043	1.707
LRP1-AS	0.001	0.002	0.002
LRP1B	0.005	0.012	0.01
LRP2	0.009	0.013	0.001
LRP2BP	0.248	0.467	0.229
LRP3	7.816	18.201	18.011
LRP4	0.097	0.212	0.488
LRP4-AS1	1.751	1.962	2.152
LRP5	12.798	63.696	54.934
LRP5L	1.644	5.687	4.312
LRP6	1.745	7.23	5.921
LRP8	8.213	26.732	23.65
LRP10	5.952	25.124	21.622
LRP11	19.307	40.627	33.851
LRP12	0.155	7.111	5.486
LRPAP1	14.45	14.555	14.613
LRPPRC	17.51	35.256	32.782
LRR1	3.963	10.935	9.984
LRRC1	2.824	10.7	10.477
LRRC2	8.652	7.463	7.924
LRRC2-AS1	0	0	0
LRRC3	0.087	2	1.864
LRRC3-DT	0.002	0.001	0.001
LRRC3B	0	0.001	0.001
LRRC3C	5.133	6.05	5.872
LRRC4	0.482	1.698	1.98
LRRC4B	0.001	0	0.008
LRRC4C	0	0	0
LRRC6	2.316	1.676	1.868
LRRC7	0	0	0
LRRC7-AS1	0	0.001	0.001
LRRC8A	2.874	16.849	17.061
LRRC8B	3.195	19.197	14.208
LRRC8C	0.852	4.161	3.376
LRRC8C-DT	0.016	0.017	0.026
LRRC8D	5.107	23.876	22.956
LRRC8E	2.4	5.696	5.878
LRRC9	0.005	0.006	0.004
LRRC10	0	0	0
LRRC10B	0.205	0.595	0.514
LRRC14	2.433	16.656	13.387
LRRC14B	0.011	0.024	0.002
LRRC15	0	0	0
LRRC17	0	0.118	0.001
LRRC18	0.014	0.153	0.144
LRRC19	0.014	0.002	0.002
LRRC20	1.21	9.572	7.426
LRRC23	0.089	2.301	3.094
LRRC24	5.736	13.029	11.98
LRRC25	4.599	3.625	4.022
LRRC26	2.11	9.265	6.922
LRRC27	3.511	3.749	4.228
LRRC28	6.395	5.646	6.15
LRRC29	0.366	0.728	0.671
LRRC30	0	0	0
LRRC31	0	0.001	0
LRRC32	0.008	0	0
LRRC34	0.021	0.02	0.012
LRRC36	0.011	0	0
LRRC37A	0.25	1.596	1.453
LRRC37A2	0.622	1.045	1.731
LRRC37A3	6.961	9.318	8.772
LRRC37B	0.441	1.33	0.952
LRRC38	0	0	0
LRRC39	0.02	0.422	0.261
LRRC40	1.822	11.965	8.141
LRRC41	4.794	20.647	18.25
LRRC42	4.438	23.866	23.729
LRRC43	0.001	0.001	0.001
LRRC45	10.234	16.768	16.988
LRRC46	0.018	0.676	0.748
LRRC47	15.252	21.598	22.921
LRRC49	0.033	0.34	0.352
LRRC52	0	0	0
LRRC52-AS1	0.042	0.408	0.521
LRRC53	0	0.001	0
LRRC55	0.002	0.024	0.282
LRRC56	1.037	2.16	2.789
LRRC57	0.233	8.944	8.001
LRRC58	11.668	19.442	19.869
LRRC59	25.271	76.995	81.741
LRRC61	2.652	7.826	8.459
LRRC63	0.392	0.446	0.443
LRRC66	0.008	0.001	0.001
LRRC69	6.922	5.867	6.077
LRRC70	0.013	0.253	0.016
LRRC71	0.012	0.016	0.125
LRRC72	0	0	0
LRRC73	0.145	0.551	0.855
LRRC74A	0.001	0	0
LRRC74B	6.55	6.958	6.429
LRRC75A	1.748	3.159	2.817
LRRC75B	1.717	4.351	4.877
LRRCC1	0.1	5.467	3.246
LRRD1	0.001	0.001	0
LRRFIP1	1.543	3.579	3.57
LRRFIP2	11.312	10.392	11.676
LRRIQ1	0	0.056	0.012
LRRIQ3	0.019	0.519	0.306
LRRIQ4	0	0	0
LRRK1	1.401	4.3	4.389
LRRK2	0	0.001	0
LRRK2-DT	0.064	1.216	1
LRRN1	0.009	0	0
LRRN2	0.108	2.579	1.984
LRRN3	0.015	0.389	0.179
LRRN4	0.018	0.072	0.011
LRRN4CL	0	0	0.002
LRRTM1	0.005	0	0
LRRTM2	0.299	0.991	0.589
LRRTM3	0	0	0
LRRTM4	0	0	0
LRRTM4-AS1	0	0	0
LRSAM1	1.548	8.298	6.254
LRTM1	0	0.017	0.015
LRTM2	0	0	0
LRTOMT	11.715	11.344	10.714
LRWD1	5.92	13.325	15.782
LSAMP	0	0	0
LSAMP-AS1	0.048	1.016	1.103
LSG1	2.23	9.969	8.242
LSINCT5	10.669	8.45	8.603
LSM1	5.963	20.276	18.277
LSM2	14.668	71.61	64.667
LSM3	0.569	28.87	26.388
LSM4	66.994	146.091	145.114
LSM5	13.403	21.68	13.521
LSM6	3.187	6.753	5.172
LSM7	13.936	60.365	58.369
LSM8	0.462	32.825	30.8
LSM10	5.159	26.425	20.195
LSM11	2.316	3.113	2.593
LSM12	40.166	40.333	42.501
LSM14A	12.507	66.834	60.77
LSM14B	8.687	14.699	14.382
LSMEM1	0.002	0.81	0.453
LSMEM2	0.043	0.896	0.002
LSP1	0.001	0	0.051
LSR	33.409	139.176	133.829
LSS	10.107	53.075	35.949
LST1	0	0	0
LTA	0	0	0
LTA4H	2.925	14.756	12.39
LTB	0.014	0.003	0.213
LTB4R	2.677	5.611	6.128
LTB4R2	3.132	6.827	6.633
LTBP1	1.713	3.965	4.03
LTBP2	0.147	0.189	0.382
LTBP3	19.416	37.784	58.431
LTBP4	2.747	5.557	5.949
LTBR	5.929	21.762	19.541
LTC4S	2.657	3.027	3.537
LTF	0	0	0
LTK	0.007	0.096	0.104
LTN1	1.852	10.926	10.904
LTO1	0.24	7.226	6.45
LTV1	3.526	19.467	16.545
LUADT1	19.807	18.858	17.235
LUARIS	0.012	0.117	0.012
LUC7L	5.496	14.323	14.31
LUC7L2	7.26	38.05	36.234
LUC7L3	6.738	14.087	12.679
LUCAT1	4.276	4.764	4.481
LUM	0	0	0
LUNAR1	0.002	0.002	0.017
LURAP1	0.001	0.001	0.001
LURAP1L	0.179	5.837	4.102
LURAP1L-AS1	0.02	0.264	0.209
LUZP1	4.539	20.387	19.59
LUZP2	0	0	0
LUZP4	0	0	0
LUZP6	4.829	27.681	19.813
LVRN	0.001	0.001	0.005
LXN	0.524	21.64	20.783
LY6D	0.394	11.529	36.434
LY6E	74.894	259.892	271.349
LY6E-DT	0.901	3.004	3.468
LY6G5B	1.359	6.236	6.55
LY6G5C	0.042	0.287	0.019
LY6G6C	0.058	0.048	0.368
LY6G6D	0	0	0
LY6G6F	0.002	0.011	0.07
LY6G6F-LY6G6D	0.002	0.009	0.054
LY6H	0	0.002	0
LY6K	4.478	5.823	5.128
LY6L	0	0	0
LY9	0.001	0.001	0
LY75	2.021	6.854	6.338
LY75-CD302	0.013	0.24	0.059
LY86	0.002	0	0
LY86-AS1	0.289	0.943	0.801
LY96	0.002	0.449	0.403
LYAR	2.522	10.136	8.017
LYG1	0.067	1.441	1.216
LYG2	0.001	0.141	0.018
LYL1	0.002	0.47	0.356
LYN	0.155	6.395	6.38
LYNX1	2.864	30.917	29.37
LYNX1-SLURP2	1.973	6.25	29.765
LYPD1	0.051	0.044	1.208
LYPD2	0.003	0.754	0.44
LYPD3	1.988	5.585	11.312
LYPD4	0	0	0
LYPD5	0.23	10.739	11.754
LYPD6	1.736	4.133	4.019
LYPD6B	0.249	7.89	6.775
LYPD8	0	0	0
LYPLA1	4.32	28.535	22.012
LYPLA2	16.997	59.524	57.693
LYPLAL1	19.958	18.493	16.335
LYPLAL1-AS1	0	0	0.002
LYPLAL1-DT	0.126	0.362	0.339
LYRM1	2.304	3.824	2.864
LYRM2	19.887	33.789	27.827
LYRM4	48.93	39.454	42.779
LYRM4-AS1	6.627	6.201	6.345
LYRM7	24.929	22.385	20.811
LYRM9	0.002	0.039	0
LYSMD1	0.103	2.874	2.128
LYSMD2	2.676	6.341	5.4
LYSMD3	1.901	8.062	4.507
LYSMD4	0.987	3.072	2.476
LYST	8.108	10.231	9.187
LYVE1	0	0	0
LYZ	0	0	0
LYZL1	0	0.001	0
LYZL2	0	0	0
LYZL4	0	0.002	0
LYZL6	0	0	0
LZIC	0.226	7.388	6.78
LZTFL1	0.379	1.202	2.25
LZTR1	2.666	8.3	7.654
LZTS1	0	0	0
LZTS1-AS1	0	0	0.003
LZTS2	7.036	15.307	17.622
LZTS3	11.378	21.532	16.616
M1AP	0.076	0.013	0.279
M6PR	5.131	23.017	23.782
MAATS1	0	0.001	0
MAB21L1	0.002	0.01	0.017
MAB21L2	0.059	0.485	0.886
MAB21L3	0	0.015	0.288
MAB21L4	8.489	34.875	32.103
MACC1	1.433	7.046	4.924
MACC1-AS1	0.019	0.141	0.001
MACF1	5.349	22.254	22.639
MACO1	2.947	13.598	10.42
MACORIS	0	0	0
MACROD1	12.186	36.124	32.253
MACROD2	0.039	0.708	0.59
MACROD2-AS1	0.013	0.501	0.001
MACROD2-IT1	0	0	0.002
MACROH2A1	22.334	69.35	68.763
MACROH2A2	4.075	17.319	16.58
MAD1L1	7.909	19.429	20.566
MAD2L1	5.271	22.319	15.447
MAD2L1BP	10.816	14.471	16.037
MAD2L2	7.004	18.788	21.156
MADCAM1	0.075	0.124	0.073
MADD	0.038	0.425	0.356
MADD-AS1	0.047	0.749	0.651
MAEA	8.364	22.566	24.677
MAEL	0	0	0
MAF	0.442	0.434	0.492
MAF1	9.906	47.883	55.571
MAFA	0.022	0.014	0.249
MAFA-AS1	0	0.002	0
MAFB	2.834	5.042	5.281
MAFF	5.885	11.67	13.97
MAFG	5.138	11.411	10.816
MAFG-DT	3.679	4.678	4.79
MAFK	14.529	33.979	33.469
MAFTRR	0.015	0.192	0.023
MAG	0.319	1.503	2.182
MAGEA1	0.018	0.222	0.009
MAGEA2	8.646	39.399	30.725
MAGEA2B	7.565	34.474	26.884
MAGEA3	22.58	96.612	95.051
MAGEA4	2.519	8.605	8.978
MAGEA4-AS1	0.002	0	0.002
MAGEA5	0	0	0.001
MAGEA6	14.259	72.06	69.431
MAGEA8	0.014	0.019	0.009
MAGEA8-AS1	0.001	0	0
MAGEA9	0.054	0.056	0.052
MAGEA9B	0.054	0.056	0.052
MAGEA10	0.029	0.079	0.031
MAGEA10-MAGEA5	0	0	0.001
MAGEA11	1.162	4.67	3.158
MAGEA12	16.796	61.656	53.007
MAGEB1	0	0	0
MAGEB2	0	0	0
MAGEB3	0	0	0
MAGEB4	0.002	0.002	0.015
MAGEB5	0	0	0
MAGEB6	0	0	0
MAGEB10	0	0	0.001
MAGEB16	0	0	0
MAGEB17	0	0	0
MAGEB18	0	0	0
MAGEC1	0	0.001	0.006
MAGEC2	0.001	0.101	0.009
MAGEC3	0	0	0
MAGED1	0.69	1.892	4.008
MAGED2	6.759	26.01	20.43
MAGED4	0	0	0
MAGED4B	0	0	0
MAGEE1	0	0	0
MAGEE2	0	0	0
MAGEF1	4.296	8.148	7.308
MAGEH1	0.155	3.511	3.188
MAGEL2	0	0	0
MAGI1	1.06	4.499	4.022
MAGI1-AS1	0.046	0.305	0.025
MAGI1-IT1	3.601	3.992	4.076
MAGI2	0	0.004	0.001
MAGI2-AS2	0	0	0
MAGI2-AS3	2.797	2.183	2.323
MAGI3	10.587	36.939	29.875
MAGIX	0.377	0.601	0.86
MAGOH	7.85	43.794	38.206
MAGOHB	1.017	7.25	5.876
MAGT1	5.867	35.499	32.688
MAIP1	2.58	17.394	15.389
MAJIN	0	0	0
MAK	1.623	2.295	2.139
MAK16	3.199	24.292	19.409
MAL	0	0.003	0.002
MAL2	42.24	90.887	119.91
MAL2-AS1	0.761	1.796	1.843
MALAT1	6.237	73.618	49.28
MALINC1	0.511	2.611	1.913
MALL	5.625	19.912	16.187
MALRD1	0	0	0
MALSU1	8.232	39.069	38.513
MALT1	6.853	6.8	8.09
MAMDC2	0.012	0.171	0.217
MAMDC2-AS1	0.005	0.146	0.237
MAMDC4	1.323	3.309	3.567
MAML1	4.436	18.098	17.019
MAML2	2.152	21.392	19.899
MAML3	0.032	0.124	0.15
MAMLD1	1.07	5.44	5.019
MAMSTR	0.521	0.897	1.25
MAN1A1	8.274	27.259	28.671
MAN1A2	3.221	12.435	9.449
MAN1B1	5.287	20.898	18.534
MAN1B1-DT	9.908	9.118	9.484
MAN1C1	4.009	4.767	3.877
MAN2A1	2.706	10.418	10.406
MAN2A2	8.705	9.608	10.757
MAN2B1	4.253	15.48	15.954
MAN2B2	1.181	4.145	4.117
MAN2C1	3.071	6.868	6.769
MANBA	0.435	2.737	2.396
MANBAL	3.536	21.718	20.628
MANCR	1.398	1.563	1.827
MANEA	0.152	5.085	3.574
MANEA-DT	0.016	0.262	0.182
MANEAL	9.446	19.633	19.274
MANF	7.685	26.637	25.592
MANSC1	0.195	8.553	5.38
MANSC4	0	0.001	0.002
MAOA	0	0.002	0
MAOB	0.001	0.01	0
MAP1A	0.051	0.13	0.149
MAP1B	0.937	5.817	6.934
